video_id,title,description,channel_title,publish_time,view_count,like_count
L91t63kCXVY,Finalni spisak Srbije za EURO 2024: Ovi igrači idu za Nemačku! Piksi bez Radonjića i Erakovića! 🇷🇸,srbija #fudbal #euro2024 Spisak reprezentacije Srbije za EURO 2024 u Nemačkoj! Šta vi kažete? Koga bi vi vodili da ste u ulozi ...,Adriatik Fudbal,2024-05-28T15:00:17Z,8541,663
uuUHWoyKOz8,Who Will Be The Underdog in EURO 2024?,,HRVizak,2024-05-24T20:01:56Z,105516,5464
VLL58xNsdQ0,Germany Announce Official Euro 2024 Squad 🇩🇪,,Pêche Football,2024-05-18T04:47:48Z,584314,34246
DFRtNzFCzdg,PRO TV X FRF – VISĂM ÎMPREUNĂ – IMNUL NAȚIONALEI LA EURO 2024,"Înaintea fluierului de start pentru Campionatul European de Fotbal, PRO TV și Federația Română de Fotbal lansează Imnul ...",PRO TV,2024-04-16T07:51:44Z,360142,1476
Aed8HPSbXik,RANKING *EVERY* EURO 2024 HOME KIT,"MY ranking for every jersey that will be worn at EURO 2024. Let me know your personal list in the comments, which ones are your ...",HRVizak,2024-05-14T14:26:30Z,74909,4221
THBv0C3MAFE,TÜRKİYE EURO 2024 GRUP ELEMELERİ HİKAYESİ,"Türkiye Euro 2024 grup elemelerinin hikayesi sizlerle. Bu hikayede grup maçlarında karşılaştığımız, Hırvatistan, Galler, ...",Maç Hikayeleri,2023-12-04T08:15:00Z,1066637,15560
KzAxoCsfoX4,FULL EURO 2024 PREDICTIONS!,My Euro 2024 predictions! I'm sure they'll all age perfectly...,Seb Ball,2024-05-27T08:31:46Z,12206,279
_WcoIoN4HJs,🇩🇪 Euro 2024 Stadiums: Germany,"The 2024 European Football Championship will be held in Germany, and it will be the third time that a tournament of this scale ...",StadiumDB.com,2022-10-06T07:04:12Z,208978,3454
ydwJ4leJHA0,OUR FINAL 26-MAN ENGLAND SQUAD for EURO 2024,Predicting the players Gareth Southgate will pick for England's Euro 2024 Squad with @RoryJenningsFootball Like to help ...,Thogden 2,2024-05-25T14:34:16Z,66477,1873
Pz9LCCal8wg,Who Will Win EURO 2024? #shorts,Who do you think will win EURO 2024? Do you agree with my decisions?,Razzamataza,2024-03-29T20:03:00Z,127104,6878
5hRujEt_cK4,Euro 2024 Groups Review | Who Is The Favourite To Win?,"Published on: 3rd December 2023 Euro Cup 2024 will be hosted by germany, the groups are out, so here is what I think of the ...",Talk Football HD,2023-12-03T03:30:03Z,78178,4886
_arMQQQxC6g,10 Footballers Who Won&#39;t Play In EURO 2024,"Euro 2024 is round the corner with top stars from Europe ready to shine for their country. France, Germany, Spain, England, and ...",Pasta Ball,2024-05-25T12:30:21Z,44783,0
_mx3tVk5EgE,Footballers That Will Shine in EURO 2024,,HRVizak,2024-05-21T18:32:08Z,26606,1642
CeMoHfbjotc,*UPDATED* UEFA EURO 2024 PREDICTION,"With all the teams officially being confirmed for the tournament, its time for an updated prediction video for EURO 2024. Let me ...",HRVizak,2024-03-28T18:05:02Z,167498,8093
ckilscXWczc,Norway’s Starting XI should be at EURO 2024 😭,,Pêche Football,2024-05-27T23:31:47Z,187175,17570
lp7DS-NE6dI,Steve Sidwell and Tubes DEBATE Whether Cole Palmer STARTS For England At EURO 2024 😤🏴󠁧󠁢󠁥󠁮󠁧󠁿,Steve Sidwell and Tubes discuss Chelsea's managerial situation and who should start for England at EURO 2024. Subscribe: ...,talkSPORT,2024-05-28T17:24:13Z,4753,46
yf0Z8i89qJI,"EURO 2024 PREDICTIONS: Sleeper picks, winners &amp; underdog stories! | ESPN FC","On ESPN FC Live, Mark Donaldson and Luis Miguel Echegaray talk through their EURO 2024 sleepers, winners, ...",ESPN FC,2024-04-03T18:00:27Z,16803,182
CeMoHfbjotc,*UPDATED* UEFA EURO 2024 PREDICTION,"With all the teams officially being confirmed for the tournament, its time for an updated prediction video for EURO 2024. Let me ...",HRVizak,2024-03-28T18:05:02Z,167498,8093
x0PSg66PzJU,Steve Nicol on Germany&#39;s odds for UEFA EURO 2024 🗣️ &#39;They need the fans behind them!&#39; | ESPN FC,"Jurgen Klinsmann, Frank Leboeuf, Shaka Hislop and Steve Nicol join Kay Murray on ESPN FC to discuss the favorites for UEFA ...",ESPN FC,2024-03-21T22:49:21Z,80052,897
SJjj2lZmEnk,Gareth Southgate announces England provisional squad for Euro 2024,Subscribe to Sky Sports News: http://bit.ly/SkySportsNewsSub Watch here as Gareth Southgate names his provisional England ...,Sky Sports News,2024-05-21T13:14:01Z,131171,1794
PeCUDsX-JYA,RANKING *EVERY* EURO 2024 AWAY KIT,"MY ranking for every AWAY jersey that will be worn at EURO 2024. Let me know your personal list in the comments, which ones ...",HRVizak,2024-05-24T10:55:06Z,28255,1513
l97IKvkPfwk,EURO 2024 Predictions (FULL Tournament Predictions),"Who is in going to win EURO 2024? We asked AI to make a EURO 2024 prediction, and in this video we are sharing all the results ...",Tiki Taka Football Quiz,2024-04-06T17:00:26Z,110866,1965
QHWpoRcwDME,Montella’nın En Zor Kararı | EURO 2024’te Hangi 11 ile Sahaya Çıkmalıyız? | Milli Takım Özel,"türkiye #millitakım #bizimcocuklar Milli Takımızın EURO 2024 geniş aday kadrosu açıklandı. Sky Spor yorumcuları, milli ...",SkySpor,2024-05-25T14:30:08Z,46785,895
vd_pKZ07aBo,Ranking EVERY EURO 2024 Group,,HRVizak,2024-03-29T14:37:15Z,70600,5076
k8NPk3MS220,BEST PLAYER From EVERY Country in EURO 2024,"EURO 2024 is just less than half a year away, but I still figured to give you guys my list of the best player from every country!",HRVizak,2024-01-28T16:20:53Z,73824,3285
-NEZBTe0tM0,"Meduza, OneRepublic, Leony - Fire (Official UEFA EURO 2024 Song)","The Official Visual for Meduza, OneRepublic, Leony - Fire (Official UEFA EURO 2024 Song) Listen and download here: ...",Meduza,2024-05-10T04:00:00Z,625405,14339
oimhVhN1JEE,26 Kişilik Euro 2024 KADROMUZ Nasıl Olmalı?,"A Milli Takım'ın Euro 2024 kadrosunda kimler yer almalı? Semih Kılıçsoy, Arda Güler, Can Uzun gibi isimlerin bulunduğu 104 ...",Akıl Oyunu,2024-05-04T09:04:23Z,144234,7030
XSFN2y1bKqU,Best Combined XI For *EVERY* EURO 2024 Group,"With giving myself the rule of having to select 3 players max from each country, I have created the best starting XI for every EURO ...",HRVizak,2024-04-01T15:09:02Z,89811,5147
sx0Yej7oxDc,Kyle Walker About England&#39;s Chance at Euro 2024,Kyle Walker About England's Chance at Euro 2024 Music: #shorts #story #realmadrid #leomessi #messi #barcelona #fcbarcelona ...,Andreas Poke,2024-04-12T08:35:12Z,149970,7541
-65m2-T1Qe8,UEFA EURO 2024 Intro ( No Sponsors),2023 © UEFA & FS1.,NG Intros,2023-12-03T20:25:34Z,267468,3653
mYrkz4Z9zk8,🇨🇵 France - Netherlands 🇳🇱 • Euro 2024 Qualifier - Griezmann 🤩🔥,france #equipedefrance #netherlands #paysbas #football #shorts #fff #griezmann #mbappe #euro2024.,A&G Highlights ,2024-05-16T16:30:10Z,15903,830
urcv8Os4RKs,‘GREAT SQUAD!’ Will England set up differently at Euro 2024 under Gareth Southgate? | ESPN FC,ESPN's Football Forecast team of James Allcott and Kweku Afari discuss Gareth Southgate's provisional England squad for Euro ...,ESPN UK,2024-05-22T17:00:39Z,19744,201
beW7gJ9KBaI,MY UEFA EURO 2024 PREDICTIONS...,The Best Football Wall Art To Decorate Your Room! Use Code: 'EUROS' For 15% Off For 48 Hours: https://mezzaladesigns.co.uk ...,Vizeh,2024-03-27T19:17:03Z,96928,4461
CZHdXzCcTPo,*NEW* EURO 2024 Countries Confirmed,,HRVizak,2024-03-27T18:51:12Z,56471,4227
_TsV1xX7ecQ,🇩🇪 L&#39;EURO 2024 SERA-T-IL LE PLUS GRAND ? - En Route Pour L&#39;Euro #1,"Lancement d'En Route pour l'Euro !!! 3 ans après, la série fait son retour sur L'Arena tous les dimanches 11h jusqu'au coup ...",L'ARENA,2024-04-14T09:00:32Z,20806,1984
bx45R6H9-C8,5 BINTANG MUDA EROPA YANG DIPREDIKSI AKAN TAMPIL MENGGILA DI EURO 2024,Hallo CEBOL MANIA terimaksih telah mensupport channel kami dan selalu setia menonton vidio-vidio dari kami. Jangan lupa ...,CERITA BOLA TOPLIST,2024-05-28T08:34:21Z,6916,224
6yBGG7LY1Ko,I SIMULATED EURO 2024 UNTIL IT CAME HOME...🏆,Who will win Euro 2024? Will it be coming home? Let's find out what in the Euros on FC 24! Subscribe for more EA FC 24 ...,Tsar FC,2024-04-15T14:00:04Z,85304,3608
u9KaDRVlYJ8,EURO 2024 Imperialism (Shock Winner! 🤯),FC 24 EURO 2024 Imperialism! Who will win it? England? France? The hosts Germany? Will there be a surprise winner? We find ...,Ghiellini,2024-04-19T15:30:14Z,244277,8854
1YvCEKb0kos,Euro 2024 simulation Hungary Vs Switzerland  #fifa #euro2024,,FUT STATZ,2024-05-27T17:03:49Z,36302,1914
Y4X94UVknSQ,Visăm Împreună | Imnul echipei naționale pentru EURO 2024,"Când visăm împreună, ne adunăm împreună! PRO TV și FRF lansează imnul echipei naționale pentru EURO 2024. În inimile ...",FRF TV,2024-04-16T06:18:05Z,53795,0
5caxlYyZESg,WHO’S GONNA WIN EURO 2024?🤔⚽️,,Martijn Debbaut,2024-05-04T15:00:03Z,201711,6865
BjEnefCAECE,SPAIN 29 Men Provisional Squad For UEFA EURO 2024 | Spain Squad | UEFA Euro 2024,spain #spainfootballteam #spainnationalfootballteam #spainsquadeuro #spainsquadeuro2024 #spainprovisionalsquadeuro ...,FootWorld,2024-05-27T10:32:09Z,5886,163
Uzj-Odxxg40,NETHERLANDS SQUAD EURO 2024 | NETHERLANDS SQUAD DEPTH EURO 2024 | UEFA EURO 2024 GERMANY,Netherlands squad EURO 2024 | Netherlands Squad Road To EURO 2024 | inilah skuad Belanda yang akan bermain di EURO ...,FOOTBALL TEAM JB,2024-04-25T05:16:06Z,40857,371
ZdTq8j-Kqws,Reacting to EVERY EURO 2024 Group,,HRVizak,2023-12-02T21:31:46Z,256919,14971
mtHFNIGttgc,Euro 2024 ?? #portugal #ronaldo #football #edit,,Nabin Bhattarai,2023-06-27T11:37:19Z,128035,7946
TflJFjewikY,How Do We Predict EURO 2024 Group A?,,Fiago,2024-04-11T17:06:45Z,122295,10495
M8S_7SL__KQ,EURO 2024 PREVIEW: ITALY,The defending champions dont have the same momemtum as they did in 2021. Under manager Spaletti the team has been ...,Michael Talks Football,2024-05-13T13:19:22Z,14985,339
5HCfOEPzkJU,First Look at EURO 2024,,NickRTFM VODS,2024-05-13T21:29:52Z,36614,1218
GHvGrJVCbTg,OUR squad for the EURO 2024! 🖤❤️💛,"The squad for EURO 2024 is set! ❤️   At the press conference on May 16, national coach Julian Nagelsmann announced the ...",German Football,2024-05-17T13:56:13Z,9617,676
UV9BwBfOBA8,UEFA EURO 2024 logo launched!,"With less than 1000 days to go until UEFA EURO 2024 kicks-off in Germany, the official brand and logo launch in Berlin marks an ...",UEFA,2021-10-13T14:27:21Z,3121287,15147
0phhNYFo1ew,How Ukraine qualified for the EURO 2024,"A very impressive achievement by Ukraine to qualify for the upcoming EURO 2024. Players like Mudryk, Dovbyk, Sudakov and ...",Vanemas Football,2024-04-02T10:00:01Z,187013,3603
n_YSsf-5QsU,How England MUST Setup At Euro 2024.,Sign up to Stathead FBREF for FREE now   https://tinysr.com/3U0zAB3 JLA20 for 20% off annual Stathead subscriptions. In this ...,James Lawrence Allcott,2024-03-18T16:00:39Z,126434,3512
F-k-FRKOups,Picking the ENTIRE England Euro 2024 squad ✅❌ | Saturday Social,SUBSCRIBE ▻ https://bit.ly/SubscribeSkySportsPL PREMIER LEAGUE HIGHLIGHTS ▻ http://bit.ly/SkySportsPLHighlights2223 ...,Sky Sports Premier League,2024-03-23T12:15:00Z,381049,5823
3VHU4bsvRII,GERMANY SQUAD EURO 2024 | UEFA EURO 2024,"GERMANY SQUAD EURO 2024 | UEFA EURO 2024 Enjoy Your Video! Support List Football Data with subscribe, like, share and ...",List Football Data,2024-04-17T13:00:03Z,62776,486
M2mUrfprecE,European Qualifiers Intro -  UEFA EURO 2024,2023 © UEFA & KVF.,NG Intros,2023-03-25T21:39:42Z,260032,2080
mtxvLxJ3Lj4,My EURO 2024 Prediction,Try the predictor here: https://www.telegraph.co.uk/football/euro-2024-predictor-simulator-every-game/ Twitter: ...,LukePinguMore,2024-05-23T14:23:08Z,13742,351
9L0jJwhA19o,France vs Netherlands 2023 Highlights | Euro 2024 Qualifiers,France vs Netherlands 4-0 Euro Qualifiers 2023. France vs Netherlands 2023 Highlights | Euro 2024 Qualifiers #france ...,Soccer Football,2023-03-26T08:00:04Z,144118,957
djx6X08-gSc,Who Will Win Euro 2024? | Stick to Football Special,"Welcome to a special Euro 2024 draw episode of Stick To Football with Gary Neville, Jamie Carragher, Ian Wright and Roy Keane ...",The Overlap,2023-12-08T17:00:36Z,1007943,12416
MF4fttfNvqM,England announces EURO 2024 provisional squad | ESPN FC,England announces EURO 2024 provisional squad | ESPN FC The ESPN FC crew weigh in on England announcing a EURO ...,ESPN UK,2024-05-21T22:38:00Z,30339,330
38Azx8NFgos,MY FINAL ENGLAND EURO 2024 SQUAD 📈 TIER LIST (MAY),Sign up to Stathead FBREF for FREE now   https://tinysr.com/3U0zAB3 JLA20 for 20% off annual Stathead subscriptions.,James Lawrence Allcott,2024-05-22T15:47:19Z,155770,3590
HmpI0J-ymlg,EURO 2024 GROUP STAGE PREDICTIONS (Part 1),EURO 2024 GROUP STAGE PREDICTIONS (Part 1) Support The Lads on Patreon! https://www.patreon.com/deadballtv To listen ...,DeadBall TV,2024-05-14T15:45:02Z,10723,360
u9KaDRVlYJ8,EURO 2024 Imperialism (Shock Winner! 🤯),FC 24 EURO 2024 Imperialism! Who will win it? England? France? The hosts Germany? Will there be a surprise winner? We find ...,Ghiellini,2024-04-19T15:30:14Z,244277,8854
FiU7yuqWVf0,*UPDATE* Full EURO 2024 Predictions (NEW),"After launching our first AI EURO 2024 football predictions and getting lots of fair feedback, we upgraded our football match ...",Tiki Taka Football Quiz,2024-05-04T11:00:12Z,24118,601
KeuTfcqKcsc,UEFA EURO 2024™ - Theme Intro,,MISITO,2023-12-02T17:07:21Z,582179,9150
3_vcim4dfvE,EURO 2024 CARDS vs EURO 2024 STICKERS!! (Pack Opening Battle!),WHICH IS BETTER? CARDS OR STICKERS?! Subscribe for more Euro 2024 openings on the channel ...,GBW,2024-04-23T17:30:00Z,87578,821
rKDd-vNCa8Y,How England should lineup to WIN Euro 2024!,How should the England Nation team line up for Euro 2024? #euro2024 #eurochampionship #harrykane #arsenal #saka ...,Fynn Krause Football,2024-02-29T12:14:49Z,48206,2293
4o006DQM0QI,EURO 2024 ŞAMPİYONU KİM OLUR ? FİNALLER ÜMİDİ TAHMİNİM !,EURO 2024 ŞAMPİYONU KİM OLUR ? FİNALLER ÜMİDİ TAHMİNİM ! ... Sizlerle EURO 2024 ün simülasyonunu yapıyoruz .,Ümidi,2024-05-26T06:00:03Z,57081,3374
X0HU8Z0nLG0,Opening 100 PACKS of EURO 2024 STICKERS! (Full Box Break!),I opened a FULL BOX of 100 EURO 2024 STICKER PACKS! Subscribe for more Euro 2024 openings on the channel ...,GBW,2024-04-07T17:30:02Z,37853,660
L4eOnRMY0zw,Should Bowen or Rashford be in England&#39;s Euro 2024 squad? | Jay Bothroyd &amp; Jamie O&#39;Hara debate,Subscribe to Sky Sports News: http://bit.ly/SkySportsNewsSub Jay Bothroyd and Jamie O'Hara had a heated debate over whether ...,Sky Sports News,2024-04-28T12:45:02Z,15724,124
tXOCqVGYKNU,ENGLAND SQUAD EURO 2024 | UEFA EURO 2024,"ENGLAND SQUAD EURO 2024 | UEFA EURO 2024 Enjoy Your Video! Support List Football Data with subscribe, like, share and ...",List Football Data,2024-04-18T13:01:22Z,118775,574
-Q1csrJ2cnc,ENGLAND SQUAD EURO 2024 | ENGLAND SQUAD DEPTH EURO 2024 | UEFA EURO 2024 GERMANY,England squad EURO 2024 | England Squad Road To EURO 2024 | inilah skuad Inggris yang akan bermain di EURO 2024 ...,FOOTBALL TEAM JB,2024-04-15T12:21:56Z,159850,864
BYqIAvQQwtg,pourquoi Didier Deschamps a sélectionné N&#39;Golo Kante pour l&#39;euro 2024 ? 🇨🇵,,Bab Footix,2024-05-16T20:42:35Z,194510,8305
H3o3GPgKIMs,EURO 2024 Shirts Decide My Team,Who is winning the EURO's? My other channels: Chuff Reacts: @ChuffReacts More Chuff: @MoreChuff Chuff Gaming: ...,Chuffsters,2024-05-23T14:55:05Z,905810,20248
uhZ2wwhSmL8,UEFA EURO 2024 Intro,UEFA & M4 Sports.,NG Intros,2023-12-03T03:41:24Z,97455,1373
zvQle4GeVfE,My Euro 2024 England Squad &amp; Starting XI,"Ahead of Gareth Southgate announcing his preliminary squad for UEFA Euro 2024, HITC Sevens attempts to predict England's ...",HITC Sevens,2024-05-20T08:00:28Z,143689,4752
Cry31bf09xo,GERMANY Official Squad For UEFA EURO 2024 | Germany Squad | UEFA Euro 2024 | FootWorld,germany #germanyfootballteam #germanynationalfootballteam #germanysquadeuro #germanysquadeuro2024 ...,FootWorld,2024-05-16T14:17:31Z,18350,226
L99vpZkx2cw,We ALL Become The Special One with Topps UEFA EURO 2024™️ Stickers ✨📘,Who else has become a special one by collecting the Topps UEFA EURO 2024™ sticker collection? Packed full of exciting ...,Topps UK,2024-05-16T14:00:14Z,1196578,6920
7Kex5Mwm15o,UEFA EURO 2024 - (We&#39;re on) FIRE! - MEDUZA &amp; One Republic &amp; Leony - Football Video,"For those, who don't understand. This is NOT an official video of music ""FIRE"" from Meduza, One Republic and Leony. This is only ...",MISITO,2024-05-13T15:09:54Z,61477,2076
rShVENj9jN8,Topps Euro 2024 stickers vs Panini World Cup 2022 stickers pack opening battle!,In today's video we have a pack battle between the Topps Euro 2024 sticker collection and the Panini World Cup 2022 sticker ...,Blazey Collects,2024-04-03T16:00:41Z,60021,1551
KDErXtwUj2U,UEFA EURO 2024 - Group Stage Match Fixtures &amp; Schedule - EURO 2024 Full Fixtures,UEFA EURO 2024 - Group Stage Match Fixtures & Schedule - EURO 2024 Full Fixtures Hello ⚽ football ❤️ fans welcome to the ...,Kuddysportstv,2024-03-31T10:21:31Z,23622,293
f5EseXuFRNc,| Portugal vs France | Euro 2024 Final | imaginary match | ronaldo vs mbappe,Portugal vs France 2024 #football #footballshorts #goat #highlights #ronaldo #cr7 #shorts #portugal #france #final #mbappe ...,San Prods,2024-04-23T03:35:39Z,201736,10948
NIKFnAxI2SA,*EARLY* EURO 2024 PLAYOFF PREDICTION,,HRVizak,2023-11-23T16:26:39Z,245773,15547
_14kgvD0BXQ,Szanse Polski na EURO 2024! MOJE PRZEWIDYWANIA,Subskrybuj: http://youtube.com/@Footbreak?sub_confirmation=1 ✉️ Współpraca / Cooperation: footbreak.kontakt@gmail.com ...,Footbreak,2024-05-23T16:49:00Z,37743,1844
lkZOAJ8on4c,Why England are favourites for Euro 2024,"It's just 84 days until the European Championships begin in Germany - so we are looking ahead to Euro 2024, with a particular ...",The Athletic FC Podcast,2024-03-22T12:00:45Z,40371,526
gGdShI2sXJk,Euro 2024 Group C Predictions!,"Predicting Euro 2024 Group C with England, Serbia, Slovenia and Denmark? ❤️Use code ""fynn"" to get a 10% Football Kit ...",Fynn Krause Football,2024-05-21T15:09:13Z,2706,70
3fRlikWwAG8,UEFA EURO 2024 Intro 2,2023 © UEFA & RTL.,NG Intros,2023-12-03T04:12:39Z,83439,953
UHk6Ix-Sw64,PORTUGAL Official Squad For UEFA EURO 2024 | Portugal Squad | UEFA Euro 2024 | FootWorld,portugal #portugalfootballteam #portugalnationalfootballteam #portugalsquadeuro #portugalsquadeuro2024 ...,FootWorld,2024-05-21T13:22:27Z,15363,246
-LGtbmd_4p8,Top 5 Euro 2024 Kits! #football,"Nike and Adidas have released all of the Euro 2024 kits, here's my top 5! 5 - Italy Away. This new Adidas template on an Italy kit ...",For the People Football,2024-03-25T11:03:26Z,24810,933
3tkkC-Jc3UM,Predicting the 10 BREAKOUT stars of Euro 2024 💥 | Saturday Social,SUBSCRIBE ▻ https://bit.ly/SubscribeSkySportsPL PREMIER LEAGUE HIGHLIGHTS ▻ http://bit.ly/SkySportsPLHighlights2223 ...,Sky Sports Premier League,2024-03-24T10:00:04Z,187317,2938
F-k-FRKOups,Picking the ENTIRE England Euro 2024 squad ✅❌ | Saturday Social,SUBSCRIBE ▻ https://bit.ly/SubscribeSkySportsPL PREMIER LEAGUE HIGHLIGHTS ▻ http://bit.ly/SkySportsPLHighlights2223 ...,Sky Sports Premier League,2024-03-23T12:15:00Z,381049,5823
1KX_A8d9Os0,MY ABSOLUTELY RIDICULOUS UEFA EURO 2024 PREDICTIONS...🙄,It's time for another prediction video from the goat of prediction videos...Tsar. Who wins Euro 2024? Subscribe for more EA FC ...,Tsar FC,2024-04-05T14:00:02Z,32620,1524
lhxjMubCwVQ,Najava EURO 2024: Grupa C - Trebamo li se plašiti Engleza? Slovenija bolja od Srbije? 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇸🇮🇩🇰,"fudbal #uefaeuro #euro2024 Najava EURO 2024: Grupa C - Možemo li nešto protiv Engleske, kako s Dancima i da li ćemo videti ...",Adriatik Fudbal,2024-05-24T17:00:36Z,6429,454
